pair_id,jd_id,cv_id,primary_keyword,exp_band
14d17622-98ce-51a0-9d23-4e72919b4841__814ba7ce-01a1-5f14-8b4f-dc83c194eb49,14d17622-98ce-51a0-9d23-4e72919b4841,814ba7ce-01a1-5f14-8b4f-dc83c194eb49,Data Analyst,0-1
14d17622-98ce-51a0-9d23-4e72919b4841__c09061b2-3c96-52df-809b-cfb8a05d3b62,14d17622-98ce-51a0-9d23-4e72919b4841,c09061b2-3c96-52df-809b-cfb8a05d3b62,Data Analyst,0-1
14d17622-98ce-51a0-9d23-4e72919b4841__d55354ab-efd2-5a71-8ba5-2b0725126939,14d17622-98ce-51a0-9d23-4e72919b4841,d55354ab-efd2-5a71-8ba5-2b0725126939,Data Analyst,0-1
14d17622-98ce-51a0-9d23-4e72919b4841__df3549fd-4c06-5b21-a4c4-3d9ac5713120,14d17622-98ce-51a0-9d23-4e72919b4841,df3549fd-4c06-5b21-a4c4-3d9ac5713120,Data Analyst,0-1
14d17622-98ce-51a0-9d23-4e72919b4841__fb51d623-a804-53fc-b0d3-4f6581aa0e21,14d17622-98ce-51a0-9d23-4e72919b4841,fb51d623-a804-53fc-b0d3-4f6581aa0e21,Data Analyst,0-1
14fa6ecb-391c-5aff-9aca-8100c823e7b1__1a124a88-12d4-5f0c-ba91-4439b53c95f5,14fa6ecb-391c-5aff-9aca-8100c823e7b1,1a124a88-12d4-5f0c-ba91-4439b53c95f5,Data Analyst,0-1
14fa6ecb-391c-5aff-9aca-8100c823e7b1__2cb87ef0-101a-5fa8-b71f-6503809ce668,14fa6ecb-391c-5aff-9aca-8100c823e7b1,2cb87ef0-101a-5fa8-b71f-6503809ce668,Data Analyst,0-1
14fa6ecb-391c-5aff-9aca-8100c823e7b1__b0704af0-ec9d-5459-9f1f-ba5ce8e4cedf,14fa6ecb-391c-5aff-9aca-8100c823e7b1,b0704af0-ec9d-5459-9f1f-ba5ce8e4cedf,Data Analyst,0-1
14fa6ecb-391c-5aff-9aca-8100c823e7b1__dd02368b-c217-5df3-a3f3-0d4dd152d2d0,14fa6ecb-391c-5aff-9aca-8100c823e7b1,dd02368b-c217-5df3-a3f3-0d4dd152d2d0,Data Analyst,0-1
14fa6ecb-391c-5aff-9aca-8100c823e7b1__e2365c62-d600-5898-84a6-3c0579b107e3,14fa6ecb-391c-5aff-9aca-8100c823e7b1,e2365c62-d600-5898-84a6-3c0579b107e3,Data Analyst,0-1
2600cdda-a925-545f-b939-658f7b913504__83db7ba8-4c7e-5569-9829-9e386e860957,2600cdda-a925-545f-b939-658f7b913504,83db7ba8-4c7e-5569-9829-9e386e860957,Data Analyst,0-1
