doc_id,doc_type,split
j_006e59f95dea,jd,train
j_00ef9ec00639,jd,test
j_0193d6265fba,jd,train
j_02017db52d74,jd,train
j_0245fe892d85,jd,train
j_036369c578b7,jd,train
j_04931cdfc189,jd,test
j_04990b697db5,jd,test
j_04a8d7b195df,jd,train
j_04b37d2c7ef9,jd,train
j_052f186481ca,jd,train
j_0541abca43b7,jd,train
j_05d2fddbff2d,jd,test
j_07002c06520d,jd,train
j_071d1e34b42f,jd,train
j_0a159603e30b,jd,test
j_0a8fc1651ecb,jd,test
j_0b5f6162e9ee,jd,test
j_0dac443f04a8,jd,train
j_0e0434bf39bf,jd,train
j_0e1cce58cf15,jd,test
j_0f46c793ecea,jd,test
j_0f945be92011,jd,train
j_10828b50e68f,jd,train
j_10981a4972d5,jd,train
j_1222dee9ee70,jd,train
j_123f4e13458a,jd,train
j_12a4f96051b7,jd,train
j_132f45a33ef6,jd,test
j_1414206494e4,jd,train
j_14534eb6627e,jd,test
j_14f8260f2fc3,jd,train
j_15dc152ace5c,jd,train
j_164174d97995,jd,train
j_16f9c601b139,jd,test
j_1749e716c73a,jd,train
j_17d9c4a276a8,jd,test
j_18106689e541,jd,train
j_18c5b7b4f2cb,jd,test
j_19862c7050d5,jd,train
j_1caa21f4df72,jd,train
j_1caecd93ea30,jd,train
j_1d196a72188e,jd,train
j_1d58d1fb84e2,jd,train
j_1ead20300e4e,jd,train
j_216e0c4982f1,jd,train
j_21c9cdb8602f,jd,train
j_2208e5068f27,jd,train
j_22ee8563f04b,jd,train
j_244f893f44d8,jd,test
j_24d29045e0e1,jd,train
j_25980311aff0,jd,train
j_277575cb9696,jd,train
j_27fe7c522a44,jd,train
j_2a73ea2f3111,jd,train
j_2aca137d8852,jd,test
j_2aff25ebaae5,jd,train
j_2b69a85efa94,jd,train
j_2bf76575012e,jd,train
j_2d6cd1d4b3c1,jd,train
j_2e6454979708,jd,train
j_2e9d93641069,jd,train
j_2fd9a7b8a765,jd,test
j_2fe2cc4a77d9,jd,train
j_3149433013e5,jd,test
j_333acf9301f7,jd,train
j_335d0fdeae0d,jd,train
j_355a795698ed,jd,test
j_3576470e8c51,jd,train
j_362c09973929,jd,test
j_365a7813a56a,jd,train
j_36b6ba470016,jd,train
j_3703c60dc13d,jd,test
j_38613b138942,jd,train
j_38b17ecb8984,jd,train
j_397858a0d25a,jd,test
j_39e00f5c7e1f,jd,train
j_39e6a4ffe7ea,jd,test
j_3a0afc7a6aad,jd,train
j_3a3fb870fb16,jd,test
j_3acb4cc033cc,jd,train
j_3b6f74806cb4,jd,test
j_40767a108709,jd,train
j_409d57594830,jd,test
j_416599b4fe47,jd,train
j_41b932ed37c4,jd,test
j_41c7b3550d19,jd,train
j_42d3ce3b12f0,jd,train
j_4376463397c6,jd,train
j_459b46957f09,jd,test
j_4620c238de52,jd,train
j_46b8715e9705,jd,train
j_488868b4d9df,jd,train
j_489659b82924,jd,test
j_49d6b130c199,jd,train
j_4b8e56663876,jd,train
j_4bcf35a89cde,jd,test
j_4c7a79779782,jd,test
j_4c9909fc55f8,jd,train
j_4e6d8d7bba14,jd,train
j_503dc2118a18,jd,train
j_5044fb55df74,jd,train
j_514ae19e2df6,jd,train
j_52d7f963d282,jd,train
j_532b478c13c1,jd,train
j_535d3203fff1,jd,train
j_53f27e4b9117,jd,test
j_5489da738488,jd,train
j_54d835400e0f,jd,test
j_5602e64d3500,jd,train
j_56c6c2633cd9,jd,train
j_571020a0af76,jd,train
j_58d45199675c,jd,train
j_5955537b14b0,jd,train
j_5a26b60308b7,jd,train
j_5a6ff054a237,jd,train
j_5bad21bff85d,jd,test
j_5bb70eae53af,jd,train
j_5bcbbaff8d81,jd,train
