pair_id,batch,stratum,jd_id,cv_id,primary_keyword,exp_band,cv_primary_keyword,keyword_match,lexical_band,lexical_score
00909f22-605e-5904-a53b-ec1b9b38d54f__0b5fa2b0-4c1a-59be-97fc-87815830ea6f,1,generic,00909f22-605e-5904-a53b-ec1b9b38d54f,0b5fa2b0-4c1a-59be-97fc-87815830ea6f,QA,0-1,QA,True,high,0.127838
00909f22-605e-5904-a53b-ec1b9b38d54f__11d652b8-a3db-5fb7-951b-d820fa655137,1,generic,00909f22-605e-5904-a53b-ec1b9b38d54f,11d652b8-a3db-5fb7-951b-d820fa655137,QA,0-1,Lead,False,mid,0.033918
00909f22-605e-5904-a53b-ec1b9b38d54f__4684da90-e54a-5a8e-87c7-adeb92f49a68,1,generic,00909f22-605e-5904-a53b-ec1b9b38d54f,4684da90-e54a-5a8e-87c7-adeb92f49a68,QA,0-1,.NET,False,high,0.054576
00909f22-605e-5904-a53b-ec1b9b38d54f__77511334-1b80-5212-985c-728eeb171661,1,generic,00909f22-605e-5904-a53b-ec1b9b38d54f,77511334-1b80-5212-985c-728eeb171661,QA,0-1,QA,True,low,0.050973
00909f22-605e-5904-a53b-ec1b9b38d54f__862837a5-e8ea-5e92-8c81-9b67d8bb84e6,1,generic,00909f22-605e-5904-a53b-ec1b9b38d54f,862837a5-e8ea-5e92-8c81-9b67d8bb84e6,QA,0-1,QA,True,low,0.057263
00909f22-605e-5904-a53b-ec1b9b38d54f__936b2b71-90da-56dc-995a-012394733f14,1,generic,00909f22-605e-5904-a53b-ec1b9b38d54f,936b2b71-90da-56dc-995a-012394733f14,QA,0-1,QA,True,high,0.128877
00909f22-605e-5904-a53b-ec1b9b38d54f__99ba1fb9-c99c-5abd-adb7-7557618a963a,1,generic,00909f22-605e-5904-a53b-ec1b9b38d54f,99ba1fb9-c99c-5abd-adb7-7557618a963a,QA,0-1,QA,True,mid,0.108529
00909f22-605e-5904-a53b-ec1b9b38d54f__c2a36050-0ed3-5890-b9e8-6d8535368347,1,generic,00909f22-605e-5904-a53b-ec1b9b38d54f,c2a36050-0ed3-5890-b9e8-6d8535368347,QA,0-1,QA,True,mid,0.083301
00909f22-605e-5904-a53b-ec1b9b38d54f__c4a659c3-0795-5fc6-a8be-9bc4d5fc6843,1,generic,00909f22-605e-5904-a53b-ec1b9b38d54f,c4a659c3-0795-5fc6-a8be-9bc4d5fc6843,QA,0-1,QA,True,high,0.127529
00909f22-605e-5904-a53b-ec1b9b38d54f__fac01145-d48a-5add-9b8e-2d4305f3738e,1,generic,00909f22-605e-5904-a53b-ec1b9b38d54f,fac01145-d48a-5add-9b8e-2d4305f3738e,QA,0-1,QA,True,mid,0.099462
1f26be02-51ac-5e5e-8acd-41e68b413b1d__3cde4a6d-6c32-5ec3-ad0f-671a03f91f32,1,generic,1f26be02-51ac-5e5e-8acd-41e68b413b1d,3cde4a6d-6c32-5ec3-ad0f-671a03f91f32,SQL,2-3,Product Manager,False,mid,0.046666
1f26be02-51ac-5e5e-8acd-41e68b413b1d__4addd62a-4e3e-5d06-bff0-1eff8669951e,1,generic,1f26be02-51ac-5e5e-8acd-41e68b413b1d,4addd62a-4e3e-5d06-bff0-1eff8669951e,SQL,2-3,SQL,True,mid,0.050251
1f26be02-51ac-5e5e-8acd-41e68b413b1d__4c4820a1-a1f1-54ed-a77e-249d5cbf370a,1,generic,1f26be02-51ac-5e5e-8acd-41e68b413b1d,4c4820a1-a1f1-54ed-a77e-249d5cbf370a,SQL,2-3,SQL,True,high,0.085856
1f26be02-51ac-5e5e-8acd-41e68b413b1d__4f346051-f9f6-5e12-a0ed-1f8aaa3f5898,1,generic,1f26be02-51ac-5e5e-8acd-41e68b413b1d,4f346051-f9f6-5e12-a0ed-1f8aaa3f5898,SQL,2-3,SQL,True,mid,0.037156
1f26be02-51ac-5e5e-8acd-41e68b413b1d__8a27f5de-9ecd-5f0f-9aed-b34accfa8b08,1,generic,1f26be02-51ac-5e5e-8acd-41e68b413b1d,8a27f5de-9ecd-5f0f-9aed-b34accfa8b08,SQL,2-3,SQL,True,high,0.120194
