pair_id,batch,stratum,corpus,query_id,doc_id,selection_reason,annotator,label,shortlist_pick,notes
60aac018-c8be-5669-85ef-892997b1a3ec__4bbae5ef-c905-57e5-bda3-a86f0ac6d3d0,1,generic,a2,60aac018-c8be-5669-85ef-892997b1a3ec,4bbae5ef-c905-57e5-bda3-a86f0ac6d3d0,indomain_banded,yc,Potential Fit,0,
60aac018-c8be-5669-85ef-892997b1a3ec__f34493c6-932c-59ef-bdef-cf9b0c873d80,1,generic,a2,60aac018-c8be-5669-85ef-892997b1a3ec,f34493c6-932c-59ef-bdef-cf9b0c873d80,indomain_banded,yc,Good Fit,0,
60aac018-c8be-5669-85ef-892997b1a3ec__1458d7d8-4da6-55e7-b675-66e52fa97c88,1,generic,a2,60aac018-c8be-5669-85ef-892997b1a3ec,1458d7d8-4da6-55e7-b675-66e52fa97c88,indomain_banded,yc,No Fit,0,
60aac018-c8be-5669-85ef-892997b1a3ec__0294a9a9-aaf1-519b-b0fa-74af9aff366f,1,generic,a2,60aac018-c8be-5669-85ef-892997b1a3ec,0294a9a9-aaf1-519b-b0fa-74af9aff366f,indomain_banded,yc,No Fit,0,
60aac018-c8be-5669-85ef-892997b1a3ec__1bda4b5a-df52-5823-8112-1b52b8b3b24c,1,generic,a2,60aac018-c8be-5669-85ef-892997b1a3ec,1bda4b5a-df52-5823-8112-1b52b8b3b24c,indomain_banded,yc,Potential Fit,0,
60aac018-c8be-5669-85ef-892997b1a3ec__cab928e1-a4f5-5056-8fda-9fda6a7f5d1c,1,generic,a2,60aac018-c8be-5669-85ef-892997b1a3ec,cab928e1-a4f5-5056-8fda-9fda6a7f5d1c,indomain_banded,yc,Good Fit,1,
60aac018-c8be-5669-85ef-892997b1a3ec__3cf2f2c6-811f-5f69-8d05-9ed11f573b89,1,generic,a2,60aac018-c8be-5669-85ef-892997b1a3ec,3cf2f2c6-811f-5f69-8d05-9ed11f573b89,indomain_banded,yc,No Fit,0,
60aac018-c8be-5669-85ef-892997b1a3ec__eef2b968-5c47-5b2e-ba2a-ebaa8aa56164,1,generic,a2,60aac018-c8be-5669-85ef-892997b1a3ec,eef2b968-5c47-5b2e-ba2a-ebaa8aa56164,indomain_banded,yc,No Fit,0,
60aac018-c8be-5669-85ef-892997b1a3ec__172c482e-dcfd-5065-ae85-9381bd613d54,1,generic,a2,60aac018-c8be-5669-85ef-892997b1a3ec,172c482e-dcfd-5065-ae85-9381bd613d54,indomain_banded,yc,Potential Fit,0,
60aac018-c8be-5669-85ef-892997b1a3ec__f8d6ecee-668a-5b2a-b1ba-7f91614d4cec,1,generic,a2,60aac018-c8be-5669-85ef-892997b1a3ec,f8d6ecee-668a-5b2a-b1ba-7f91614d4cec,indomain_banded,yc,No Fit,0,
