query_jd_id,candidate_resume_id,relevance,source,pool_variant
j_00ef9ec00639,r_013170a77882,none,distractor,N100
j_00ef9ec00639,r_09232541e735,none,distractor,N100
j_00ef9ec00639,r_0999c5e9f4ae,none,distractor,N100
j_00ef9ec00639,r_0d36cfc6c0f4,none,distractor,N100
j_00ef9ec00639,r_0ed1be1aae4a,none,distractor,N100
j_00ef9ec00639,r_0fd6f79bcfd7,none,distractor,N100
j_00ef9ec00639,r_13af6c5b12ae,none,distractor,N100
j_00ef9ec00639,r_1486e59ff040,none,distractor,N100
j_00ef9ec00639,r_1492d7a5d4ae,none,distractor,N100
j_00ef9ec00639,r_14cef54042c5,none,distractor,N100
j_00ef9ec00639,r_17574ddcdc4c,none,distractor,N100
j_00ef9ec00639,r_1810e71d8f88,none,distractor,N100
j_00ef9ec00639,r_1ec0a415f929,none,distractor,N100
j_00ef9ec00639,r_2994f4951ca1,none,distractor,N100
j_00ef9ec00639,r_29f6a46c7ec2,none,distractor,N100
j_00ef9ec00639,r_2a6f2da57180,none,distractor,N100
j_00ef9ec00639,r_34d9ca76fa1a,none,distractor,N100
j_00ef9ec00639,r_36ff2ee44811,none,distractor,N100
j_00ef9ec00639,r_395325f99dd5,none,distractor,N100
j_00ef9ec00639,r_3bb82fec9ad3,none,distractor,N100
j_00ef9ec00639,r_3c191b7fe1d1,none,distractor,N100
j_00ef9ec00639,r_3e54688dd252,none,distractor,N100
j_00ef9ec00639,r_3f7c0fb22791,none,distractor,N100
j_00ef9ec00639,r_418f94aaa1d2,none,distractor,N100
j_00ef9ec00639,r_4237404a46ae,none,distractor,N100
j_00ef9ec00639,r_45556180d256,none,distractor,N100
j_00ef9ec00639,r_4a71bd75b658,none,distractor,N100
j_00ef9ec00639,r_4ad55aba0c86,none,distractor,N100
j_00ef9ec00639,r_4e7617c6f551,none,distractor,N100
j_00ef9ec00639,r_52936a56ec83,none,distractor,N100
j_00ef9ec00639,r_5751ca65cc28,none,distractor,N100
j_00ef9ec00639,r_576a62182bc4,none,distractor,N100
j_00ef9ec00639,r_587cbcc60d9b,none,distractor,N100
j_00ef9ec00639,r_5c04e2270625,none,distractor,N100
j_00ef9ec00639,r_5d191fbbc72d,none,distractor,N100
j_00ef9ec00639,r_5ea3007a25de,none,distractor,N100
j_00ef9ec00639,r_5eabe0d2a219,none,distractor,N100
j_00ef9ec00639,r_607a2215b311,none,distractor,N100
j_00ef9ec00639,r_625df82ec68d,none,distractor,N100
j_00ef9ec00639,r_67a025c27e84,none,distractor,N100
j_00ef9ec00639,r_6a87d731bc57,none,distractor,N100
j_00ef9ec00639,r_708f5eca7774,none,distractor,N100
j_00ef9ec00639,r_7aced8699f51,none,distractor,N100
j_00ef9ec00639,r_7c57883ca1ba,none,distractor,N100
j_00ef9ec00639,r_7f5b10d93e32,none,distractor,N100
j_00ef9ec00639,r_8034449ae083,none,distractor,N100
j_00ef9ec00639,r_80cc37401e93,none,distractor,N100
j_00ef9ec00639,r_82d46c8c4da4,none,distractor,N100
j_00ef9ec00639,r_85c293a56702,none,distractor,N100
j_00ef9ec00639,r_88d8f10c1bf5,none,distractor,N100
j_00ef9ec00639,r_8a3231c91132,none,distractor,N100
j_00ef9ec00639,r_8b8c95916925,none,distractor,N100
j_00ef9ec00639,r_8b9e8e9fa8f4,none,distractor,N100
j_00ef9ec00639,r_8edd2822b665,none,distractor,N100
j_00ef9ec00639,r_8f35956bfcd2,none,distractor,N100
j_00ef9ec00639,r_9033389de6ef,none,distractor,N100
j_00ef9ec00639,r_967a5b2a6bd0,none,distractor,N100
j_00ef9ec00639,r_994f22c8ed51,none,distractor,N100
j_00ef9ec00639,r_9a033c9f29fc,none,distractor,N100
j_00ef9ec00639,r_9ddad6feab89,none,distractor,N100
j_00ef9ec00639,r_a13a45f1f690,none,distractor,N100
j_00ef9ec00639,r_a3a7743fbeb0,none,distractor,N100
j_00ef9ec00639,r_ae66816132d9,none,distractor,N100
j_00ef9ec00639,r_af6a8343706f,none,distractor,N100
j_00ef9ec00639,r_b2857f676a87,none,distractor,N100
j_00ef9ec00639,r_b5e3ec672e19,none,distractor,N100
j_00ef9ec00639,r_b63814d031db,none,distractor,N100
j_00ef9ec00639,r_c0f557bc6359,none,distractor,N100
j_00ef9ec00639,r_c1776fb1b10f,none,distractor,N100
j_00ef9ec00639,r_c2c63742c924,none,distractor,N100
j_00ef9ec00639,r_c43edc4ad930,none,distractor,N100
j_00ef9ec00639,r_c90d6d2bef24,none,distractor,N100
j_00ef9ec00639,r_cce214d00c9d,none,distractor,N100
j_00ef9ec00639,r_cde70dabfb9e,none,distractor,N100
j_00ef9ec00639,r_cfef6a354732,none,distractor,N100
j_00ef9ec00639,r_d0c4c839a296,none,distractor,N100
j_00ef9ec00639,r_d3f3e370fe4b,none,distractor,N100
j_00ef9ec00639,r_da0f7f28cff6,none,distractor,N100
j_00ef9ec00639,r_dc500db3d499,none,distractor,N100
j_00ef9ec00639,r_de3c5cd8c34f,none,distractor,N100
j_00ef9ec00639,r_debcf2de8b0d,none,distractor,N100
j_00ef9ec00639,r_e03c7236d1ea,none,distractor,N100
j_00ef9ec00639,r_e10b6984f065,none,distractor,N100
j_00ef9ec00639,r_e33097f84003,none,distractor,N100
j_00ef9ec00639,r_e5b671d6d5ea,none,distractor,N100
j_00ef9ec00639,r_eb9eca2ddc68,none,distractor,N100
j_00ef9ec00639,r_f0410ea9aebb,none,distractor,N100
j_00ef9ec00639,r_f34bc087b41d,none,distractor,N100
j_00ef9ec00639,r_f52b6f7e466c,none,distractor,N100
j_00ef9ec00639,r_f5993168b903,none,distractor,N100
j_00ef9ec00639,r_f59da0b3b28a,none,distractor,N100
j_00ef9ec00639,r_f5f40b0a9a89,none,distractor,N100
j_00ef9ec00639,r_fa1cd912aa5e,none,distractor,N100
j_00ef9ec00639,r_fa5d5b4731f8,none,distractor,N100
j_00ef9ec00639,r_fd93885e7f51,none,distractor,N100
j_00ef9ec00639,r_6bffd376bccf,good,labelled,N100
j_00ef9ec00639,r_a341cc8386e6,none,labelled,N100
j_00ef9ec00639,r_a79ee88e30ff,good,labelled,N100
j_00ef9ec00639,r_c602157b6258,none,labelled,N100
j_00ef9ec00639,r_fc38879ecf80,good,labelled,N100
j_04931cdfc189,r_09232541e735,none,distractor,N100
j_04931cdfc189,r_13af6c5b12ae,none,distractor,N100
j_04931cdfc189,r_1486e59ff040,none,distractor,N100
j_04931cdfc189,r_1492d7a5d4ae,none,distractor,N100
j_04931cdfc189,r_14cef54042c5,none,distractor,N100
j_04931cdfc189,r_1d66a23142ee,none,distractor,N100
j_04931cdfc189,r_1ec0a415f929,none,distractor,N100
j_04931cdfc189,r_206813cc4e0c,none,distractor,N100
j_04931cdfc189,r_210cde2154ee,none,distractor,N100
j_04931cdfc189,r_2153792c714a,none,distractor,N100
j_04931cdfc189,r_26081eac0636,none,distractor,N100
j_04931cdfc189,r_282df938bf67,none,distractor,N100
j_04931cdfc189,r_2994f4951ca1,none,distractor,N100
j_04931cdfc189,r_29f6a46c7ec2,none,distractor,N100
j_04931cdfc189,r_2a58ebc46ba5,none,distractor,N100
j_04931cdfc189,r_36ff2ee44811,none,distractor,N100
j_04931cdfc189,r_37efcbaeda6b,none,distractor,N100
j_04931cdfc189,r_39101c81b1e5,none,distractor,N100
j_04931cdfc189,r_3d8d0b6b67e0,none,distractor,N100
j_04931cdfc189,r_3e54688dd252,none,distractor,N100
j_04931cdfc189,r_3f0bab328dc9,none,distractor,N100
j_04931cdfc189,r_3f37a16fe433,none,distractor,N100
j_04931cdfc189,r_45556180d256,none,distractor,N100
j_04931cdfc189,r_4c4359ce2c28,none,distractor,N100
j_04931cdfc189,r_4f4670a5e744,none,distractor,N100
j_04931cdfc189,r_52577e776679,none,distractor,N100
j_04931cdfc189,r_54efc8ed3054,none,distractor,N100
j_04931cdfc189,r_587cbcc60d9b,none,distractor,N100
j_04931cdfc189,r_595e7102d962,none,distractor,N100
j_04931cdfc189,r_5e423ebcac9b,none,distractor,N100
j_04931cdfc189,r_5eabe0d2a219,none,distractor,N100
j_04931cdfc189,r_607a2215b311,none,distractor,N100
j_04931cdfc189,r_60d5e723d074,none,distractor,N100
j_04931cdfc189,r_67a025c27e84,none,distractor,N100
j_04931cdfc189,r_680f73be8434,none,distractor,N100
j_04931cdfc189,r_6bffd376bccf,none,distractor,N100
j_04931cdfc189,r_708f5eca7774,none,distractor,N100
j_04931cdfc189,r_74b180786103,none,distractor,N100
j_04931cdfc189,r_7aced8699f51,none,distractor,N100
j_04931cdfc189,r_7d9919ce0c9e,none,distractor,N100
j_04931cdfc189,r_7f5b10d93e32,none,distractor,N100
j_04931cdfc189,r_80cc37401e93,none,distractor,N100
j_04931cdfc189,r_82d46c8c4da4,none,distractor,N100
j_04931cdfc189,r_88d8f10c1bf5,none,distractor,N100
j_04931cdfc189,r_8b8c95916925,none,distractor,N100
j_04931cdfc189,r_8b9e8e9fa8f4,none,distractor,N100
j_04931cdfc189,r_8ce250986e54,none,distractor,N100
j_04931cdfc189,r_8f35956bfcd2,none,distractor,N100
j_04931cdfc189,r_967a5b2a6bd0,none,distractor,N100
j_04931cdfc189,r_994f22c8ed51,none,distractor,N100
j_04931cdfc189,r_9ddad6feab89,none,distractor,N100
j_04931cdfc189,r_9f41c250b6f7,none,distractor,N100
j_04931cdfc189,r_a13a45f1f690,none,distractor,N100
j_04931cdfc189,r_a4dad8e574a8,none,distractor,N100
j_04931cdfc189,r_a79ee88e30ff,none,distractor,N100
j_04931cdfc189,r_a7ba46bfc48b,none,distractor,N100
j_04931cdfc189,r_ae1dd7bc8e67,none,distractor,N100
j_04931cdfc189,r_ae439f769f88,none,distractor,N100
j_04931cdfc189,r_af6a8343706f,none,distractor,N100
j_04931cdfc189,r_b2857f676a87,none,distractor,N100
j_04931cdfc189,r_b2b9095b348d,none,distractor,N100
j_04931cdfc189,r_b3ee15aba226,none,distractor,N100
j_04931cdfc189,r_b635334c254b,none,distractor,N100
j_04931cdfc189,r_bd480581dfb2,none,distractor,N100
j_04931cdfc189,r_be5f868d3848,none,distractor,N100
j_04931cdfc189,r_c032a30b31c3,none,distractor,N100
j_04931cdfc189,r_c1776fb1b10f,none,distractor,N100
j_04931cdfc189,r_c6fe667ad210,none,distractor,N100
j_04931cdfc189,r_c84a827baf9e,none,distractor,N100
j_04931cdfc189,r_ca7ba98f2447,none,distractor,N100
j_04931cdfc189,r_cbf29bfbda3d,none,distractor,N100
j_04931cdfc189,r_cde70dabfb9e,none,distractor,N100
j_04931cdfc189,r_d0a9a235028a,none,distractor,N100
j_04931cdfc189,r_d0c4c839a296,none,distractor,N100
j_04931cdfc189,r_d157d1698e99,none,distractor,N100
j_04931cdfc189,r_d3f3e370fe4b,none,distractor,N100
j_04931cdfc189,r_d4231a28f017,none,distractor,N100
j_04931cdfc189,r_da0f7f28cff6,none,distractor,N100
j_04931cdfc189,r_dc500db3d499,none,distractor,N100
j_04931cdfc189,r_de330ec0b46f,none,distractor,N100
j_04931cdfc189,r_de3c5cd8c34f,none,distractor,N100
j_04931cdfc189,r_de7fd77e0c05,none,distractor,N100
j_04931cdfc189,r_debcf2de8b0d,none,distractor,N100
j_04931cdfc189,r_e03c7236d1ea,none,distractor,N100
j_04931cdfc189,r_e10b6984f065,none,distractor,N100
j_04931cdfc189,r_e2301f30d79c,none,distractor,N100
j_04931cdfc189,r_e33097f84003,none,distractor,N100
j_04931cdfc189,r_e50841e99ec4,none,distractor,N100
j_04931cdfc189,r_e72f975e1554,none,distractor,N100
j_04931cdfc189,r_e741e1ca6ee8,none,distractor,N100
j_04931cdfc189,r_e944fdfb2742,none,distractor,N100
j_04931cdfc189,r_eb9eca2ddc68,none,distractor,N100
j_04931cdfc189,r_f0410ea9aebb,none,distractor,N100
j_04931cdfc189,r_f5993168b903,none,distractor,N100
j_04931cdfc189,r_f5f40b0a9a89,none,distractor,N100
j_04931cdfc189,r_fa1cd912aa5e,none,distractor,N100
j_04931cdfc189,r_fc38879ecf80,none,distractor,N100
j_04931cdfc189,r_ffbc681101ba,none,distractor,N100
j_04931cdfc189,r_34d9ca76fa1a,none,labelled,N100
j_04931cdfc189,r_fa5d5b4731f8,none,labelled,N100
j_04990b697db5,r_013170a77882,none,distractor,N100
j_04990b697db5,r_06c4bee1afa2,none,distractor,N100
j_04990b697db5,r_09232541e735,none,distractor,N100
j_04990b697db5,r_0999c5e9f4ae,none,distractor,N100
j_04990b697db5,r_0d36cfc6c0f4,none,distractor,N100
j_04990b697db5,r_0f308ecf2208,none,distractor,N100
j_04990b697db5,r_0fcf453384c4,none,distractor,N100
j_04990b697db5,r_13af6c5b12ae,none,distractor,N100
j_04990b697db5,r_14cef54042c5,none,distractor,N100
j_04990b697db5,r_17574ddcdc4c,none,distractor,N100
j_04990b697db5,r_1810e71d8f88,none,distractor,N100
j_04990b697db5,r_1a7641d9a664,none,distractor,N100
j_04990b697db5,r_206813cc4e0c,none,distractor,N100
j_04990b697db5,r_2153792c714a,none,distractor,N100
j_04990b697db5,r_282df938bf67,none,distractor,N100
j_04990b697db5,r_2994f4951ca1,none,distractor,N100
j_04990b697db5,r_362e895efcdd,none,distractor,N100
j_04990b697db5,r_36ff2ee44811,none,distractor,N100
j_04990b697db5,r_39101c81b1e5,none,distractor,N100
j_04990b697db5,r_395325f99dd5,none,distractor,N100
j_04990b697db5,r_3d8d0b6b67e0,none,distractor,N100
j_04990b697db5,r_3e11bbbda486,none,distractor,N100
j_04990b697db5,r_3f8f7dd4c36d,none,distractor,N100
j_04990b697db5,r_4237404a46ae,none,distractor,N100
j_04990b697db5,r_454f14aa6fd4,none,distractor,N100
j_04990b697db5,r_49d9f76db16a,none,distractor,N100
j_04990b697db5,r_4a71bd75b658,none,distractor,N100
j_04990b697db5,r_52577e776679,none,distractor,N100
j_04990b697db5,r_52936a56ec83,none,distractor,N100
j_04990b697db5,r_5751ca65cc28,none,distractor,N100
j_04990b697db5,r_595e7102d962,none,distractor,N100
j_04990b697db5,r_5e423ebcac9b,none,distractor,N100
j_04990b697db5,r_5eabe0d2a219,none,distractor,N100
j_04990b697db5,r_625df82ec68d,none,distractor,N100
j_04990b697db5,r_635cc7705943,none,distractor,N100
j_04990b697db5,r_680f73be8434,none,distractor,N100
j_04990b697db5,r_6bffd376bccf,none,distractor,N100
j_04990b697db5,r_6de8c60312de,none,distractor,N100
j_04990b697db5,r_708f5eca7774,none,distractor,N100
j_04990b697db5,r_74b180786103,none,distractor,N100
j_04990b697db5,r_7c57883ca1ba,none,distractor,N100
j_04990b697db5,r_80cc37401e93,none,distractor,N100
j_04990b697db5,r_85c293a56702,none,distractor,N100
j_04990b697db5,r_8a3231c91132,none,distractor,N100
j_04990b697db5,r_8edd2822b665,none,distractor,N100
j_04990b697db5,r_967a5b2a6bd0,none,distractor,N100
j_04990b697db5,r_994f22c8ed51,none,distractor,N100
j_04990b697db5,r_9a1f6ae662f5,none,distractor,N100
j_04990b697db5,r_9aff4a04ba0b,none,distractor,N100
j_04990b697db5,r_9ddad6feab89,none,distractor,N100
j_04990b697db5,r_9f41c250b6f7,none,distractor,N100
j_04990b697db5,r_a13a45f1f690,none,distractor,N100
j_04990b697db5,r_a341cc8386e6,none,distractor,N100
j_04990b697db5,r_a4dad8e574a8,none,distractor,N100
j_04990b697db5,r_a7ba46bfc48b,none,distractor,N100
j_04990b697db5,r_a8ab0b1bd90d,none,distractor,N100
j_04990b697db5,r_ae1dd7bc8e67,none,distractor,N100
j_04990b697db5,r_ae439f769f88,none,distractor,N100
j_04990b697db5,r_b2857f676a87,none,distractor,N100
j_04990b697db5,r_b2b9095b348d,none,distractor,N100
j_04990b697db5,r_b5e3ec672e19,none,distractor,N100
j_04990b697db5,r_b635334c254b,none,distractor,N100
j_04990b697db5,r_b63814d031db,none,distractor,N100
j_04990b697db5,r_bb69b1791fee,none,distractor,N100
j_04990b697db5,r_bf867b1c1c9a,none,distractor,N100
j_04990b697db5,r_c032a30b31c3,none,distractor,N100
j_04990b697db5,r_c2c63742c924,none,distractor,N100
j_04990b697db5,r_c43edc4ad930,none,distractor,N100
j_04990b697db5,r_c602157b6258,none,distractor,N100
j_04990b697db5,r_c6fe667ad210,none,distractor,N100
j_04990b697db5,r_c84a827baf9e,none,distractor,N100
j_04990b697db5,r_c90d6d2bef24,none,distractor,N100
j_04990b697db5,r_ce9ae051227f,none,distractor,N100
j_04990b697db5,r_d041e942cb4e,none,distractor,N100
j_04990b697db5,r_d157d1698e99,none,distractor,N100
j_04990b697db5,r_d4231a28f017,none,distractor,N100
j_04990b697db5,r_d688c10242fb,none,distractor,N100
j_04990b697db5,r_da0f7f28cff6,none,distractor,N100
j_04990b697db5,r_dc500db3d499,none,distractor,N100
j_04990b697db5,r_de3c5cd8c34f,none,distractor,N100
j_04990b697db5,r_de7fd77e0c05,none,distractor,N100
j_04990b697db5,r_e04ef2490f1e,none,distractor,N100
j_04990b697db5,r_e10b6984f065,none,distractor,N100
j_04990b697db5,r_e2301f30d79c,none,distractor,N100
j_04990b697db5,r_e50841e99ec4,none,distractor,N100
j_04990b697db5,r_e5b671d6d5ea,none,distractor,N100
j_04990b697db5,r_e72f975e1554,none,distractor,N100
j_04990b697db5,r_e741e1ca6ee8,none,distractor,N100
j_04990b697db5,r_f1fc6bafccae,none,distractor,N100
j_04990b697db5,r_f204a9d59bf4,none,distractor,N100
j_04990b697db5,r_f52b6f7e466c,none,distractor,N100
j_04990b697db5,r_f5993168b903,none,distractor,N100
j_04990b697db5,r_f59da0b3b28a,none,distractor,N100
j_04990b697db5,r_f5f40b0a9a89,none,distractor,N100
j_04990b697db5,r_fd93885e7f51,none,distractor,N100
j_04990b697db5,r_ffbc681101ba,none,distractor,N100
j_04990b697db5,r_54efc8ed3054,none,labelled,N100
j_04990b697db5,r_5ea3007a25de,none,labelled,N100
j_04990b697db5,r_8ce250986e54,none,labelled,N100
j_04990b697db5,r_fc38879ecf80,potential,labelled,N100
j_05d2fddbff2d,r_013170a77882,none,distractor,N100
j_05d2fddbff2d,r_06c4bee1afa2,none,distractor,N100
j_05d2fddbff2d,r_0817bbf617c5,none,distractor,N100
j_05d2fddbff2d,r_08b604489629,none,distractor,N100
j_05d2fddbff2d,r_09232541e735,none,distractor,N100
j_05d2fddbff2d,r_0999c5e9f4ae,none,distractor,N100
j_05d2fddbff2d,r_0ed1be1aae4a,none,distractor,N100
j_05d2fddbff2d,r_0f308ecf2208,none,distractor,N100
j_05d2fddbff2d,r_0fd6f79bcfd7,none,distractor,N100
j_05d2fddbff2d,r_1492d7a5d4ae,none,distractor,N100
j_05d2fddbff2d,r_1a7641d9a664,none,distractor,N100
j_05d2fddbff2d,r_1d66a23142ee,none,distractor,N100
j_05d2fddbff2d,r_1ec0a415f929,none,distractor,N100
j_05d2fddbff2d,r_206813cc4e0c,none,distractor,N100
j_05d2fddbff2d,r_210cde2154ee,none,distractor,N100
j_05d2fddbff2d,r_2153792c714a,none,distractor,N100
j_05d2fddbff2d,r_282df938bf67,none,distractor,N100
j_05d2fddbff2d,r_2994f4951ca1,none,distractor,N100
j_05d2fddbff2d,r_2a6f2da57180,none,distractor,N100
j_05d2fddbff2d,r_34d9ca76fa1a,none,distractor,N100
j_05d2fddbff2d,r_362e895efcdd,none,distractor,N100
j_05d2fddbff2d,r_39101c81b1e5,none,distractor,N100
j_05d2fddbff2d,r_395325f99dd5,none,distractor,N100
j_05d2fddbff2d,r_3bb82fec9ad3,none,distractor,N100
j_05d2fddbff2d,r_3e706bc3f2ad,none,distractor,N100
j_05d2fddbff2d,r_3f37a16fe433,none,distractor,N100
j_05d2fddbff2d,r_3f8f7dd4c36d,none,distractor,N100
j_05d2fddbff2d,r_418f94aaa1d2,none,distractor,N100
j_05d2fddbff2d,r_4237404a46ae,none,distractor,N100
j_05d2fddbff2d,r_454f14aa6fd4,none,distractor,N100
j_05d2fddbff2d,r_49d9f76db16a,none,distractor,N100
j_05d2fddbff2d,r_4a71bd75b658,none,distractor,N100
j_05d2fddbff2d,r_4e7617c6f551,none,distractor,N100
j_05d2fddbff2d,r_4f4670a5e744,none,distractor,N100
j_05d2fddbff2d,r_54efc8ed3054,none,distractor,N100
j_05d2fddbff2d,r_576a62182bc4,none,distractor,N100
j_05d2fddbff2d,r_587cbcc60d9b,none,distractor,N100
j_05d2fddbff2d,r_595e7102d962,none,distractor,N100
j_05d2fddbff2d,r_5e423ebcac9b,none,distractor,N100
j_05d2fddbff2d,r_5ea3007a25de,none,distractor,N100
j_05d2fddbff2d,r_60d5e723d074,none,distractor,N100
j_05d2fddbff2d,r_680f73be8434,none,distractor,N100
j_05d2fddbff2d,r_6a87d731bc57,none,distractor,N100
j_05d2fddbff2d,r_6bffd376bccf,none,distractor,N100
j_05d2fddbff2d,r_6de8c60312de,none,distractor,N100
j_05d2fddbff2d,r_6e2a896d8335,none,distractor,N100
j_05d2fddbff2d,r_708f5eca7774,none,distractor,N100
j_05d2fddbff2d,r_7aced8699f51,none,distractor,N100
j_05d2fddbff2d,r_7c57883ca1ba,none,distractor,N100
